step,fundamental,mid,spread,bid_depth,ask_depth,inventory,cash,pnl,trades
92,98.71,98.815,1.39,190,178,-19,2192.73,315.245,109
93,98.75,98.74,1.58,175,190,-9,1210.43,321.77,111
94,98.73,98.79,1.3,190,187,-12,1508.75,323.27,112
95,98.67,98.75,1.3,182,190,-4,723.95,328.95,113
96,98.7,98.73,1.3,190,184,-10,1320.23,332.93,114
97,98.7,98.81,1.38,190,176,-20,2314.43,338.23,116
98,98.75,98.89,1.3,190,190,-20,2314.43,336.63,116
99,98.68,98.67,1.58,173,190,-10,1332.73,346.03,118
100,98.6,98.67,1.3,190,184,-16,1928.65,349.93,119
101,98.56,98.67,1.3,190,189,-17,2027.97,350.58,120
102,98.49,98.6,1.3,187,190,-14,1734.12,353.72,121
103,98.41,98.5,1.3,190,189,-15,1833.27,355.77,122
104,98.37,98.47,1.3,190,190,-15,1833.27,356.22,122
105,98.43,98.555,1.35,190,173,-25,2825.07,361.195,124
106,98.39,98.55,1.28,190,190,-25,2825.07,361.32,124
107,98.25,98.41,1.28,190,180,-25,2825.07,364.82,125
108,98.2,98.36,1.28,190,184,-25,2825.07,366.07,126
109,98.15,98.31,1.28,181,190,-16,1946.04,373.08,127
110,98.16,98.14,1.56,173,190,-6,969.84,381.0,129
111,98.16,98.2,1.3,186,190,-2,579.64,383.24,130
112,98.11,98.04,1.46,177,190,8,-395.06,389.26,132
113,98.04,97.99,1.3,190,190,8,-395.06,388.86,132
114,98.03,97.98,1.3,190,185,3,98.09,392.03,133
115,98.07,98.05,1.3,190,188,1,295.49,393.54,134
116,98.08,98.0,1.44,176,190,11,-678.71,399.29,136
117,98.07,98.11,1.52,190,177,1,307.79,405.9,138
118,98.13,98.2,1.46,190,180,-9,1295.49,411.69,139
119,98.07,98.13,1.3,190,181,-18,2184.51,418.17,140
120,98.03,98.15,1.3,190,190,-18,2184.51,417.81,140
121,98.05,98.17,1.3,190,190,-18,2184.51,417.45,140
122,98.01,98.13,1.3,190,190,-18,2184.51,418.17,140
123,98.0,98.12,1.3,190,189,-19,2283.28,419.0,141
124,97.99,98.115,1.29,182,190,-11,1503.52,424.255,142
125,98.01,98.08,1.3,190,181,-20,2392.09,430.49,143
126,98.02,98.16,1.32,190,180,-30,3380.09,435.29,144
127,97.99,98.165,1.25,190,173,-30,3380.09,435.14,145
128,98.01,98.185,1.25,190,190,-30,3380.09,434.54,145
129,97.98,98.155,1.25,190,190,-30,3380.09,435.44,145
130,97.9,98.075,1.25,190,190,-30,3380.09,437.84,145
131,97.84,98.015,1.25,190,185,-30,3380.09,439.64,146
132,97.95,98.125,1.25,190,190,-30,3380.09,436.34,146
133,97.98,97.98,1.6,173,190,-20,2404.79,445.19,148
134,98.03,98.16,1.3,189,190,-19,2307.28,442.24,149
135,98.09,98.21,1.3,190,190,-19,2307.28,441.29,149
136,97.98,98.1,1.3,182,190,-11,1527.68,448.58,150
137,97.92,98.03,1.38,190,178,-21,2514.08,455.45,152
138,97.98,98.12,1.3,190,189,-22,2612.85,454.21,153
139,97.97,97.965,1.59,174,190,-12,1638.25,462.67,155
140,97.96,97.925,1.53,172,190,-2,664.35,468.5,157
141,98.03,97.96,1.46,174,190,8,-309.55,474.13,159
142,98.03,97.98,1.3,183,190,15,-990.86,478.84,160
143,98.05,97.925,1.35,175,190,25,-1963.86,484.265,162
144,97.99,97.835,1.29,188,190,25,-1963.86,482.015,163
145,97.99,97.835,1.29,187,190,25,-1963.86,482.015,164
146,97.95,97.795,1.29,185,190,25,-1963.86,481.015,165
147,97.92,97.765,1.29,190,181,16,-1078.17,486.07,166
148,97.95,97.975,1.55,190,173,6,-93.17,494.68,168
149,97.95,97.91,1.3,190,186,2,301.07,496.89,169
150,98.03,98.1,1.46,190,174,-8,1287.77,502.97,171
151,98.03,98.13,1.4,190,173,-18,2275.07,508.73,173
152,98.09,98.2,1.3,190,183,-25,2967.02,512.02,174
153,98.08,98.235,1.29,190,173,-25,2967.02,511.145,175
154,98.08,98.235,1.29,181,190,-16,2088.71,516.95,176
155,98.14,98.24,1.3,190,190,-16,2088.71,516.87,176
156,98.13,98.23,1.3,190,190,-16,2088.71,517.03,176
157,98.09,98.19,1.3,190,189,-17,2187.55,518.32,177
158,98.18,98.16,1.56,176,190,-7,1211.15,524.03,179
159,98.15,98.245,1.41,190,179,-17,2199.55,529.385,181
160,98.25,98.36,1.3,190,190,-17,2199.55,527.43,181
161,98.25,98.36,1.3,189,190,-16,2101.84,528.08,182
162,98.29,98.39,1.3,190,187,-19,2398.96,529.55,183
163,98.26,98.38,1.3,190,181,-28,3290.23,535.59,184
164,98.29,98.455,1.27,185,190,-23,2801.13,536.665,185
165,98.25,98.395,1.31,190,173,-33,3791.53,544.495,187
166,98.21,98.39,1.24,190,190,-33,3791.53,544.66,187
167,98.3,98.48,1.24,190,177,-33,3791.53,541.69,188
168,98.42,98.6,1.24,188,190,-31,3595.57,538.97,189
169,98.35,98.52,1.26,190,190,-31,3595.57,541.45,189
170,98.28,98.28,1.6,174,190,-21,2617.37,553.49,191
171,98.32,98.45,1.3,185,190,-16,2128.37,553.17,192
172,98.35,98.45,1.3,190,181,-25,3020.27,559.02,193
173,98.4,98.555,1.29,190,174,-25,3020.27,556.395,194
174,98.34,98.495,1.29,190,183,-25,3020.27,557.895,195
175,98.32,98.32,1.6,172,190,-15,2041.97,567.17,197
176,98.34,98.43,1.3,190,190,-15,2041.97,565.52,197
177,98.47,98.56,1.3,190,183,-22,2736.44,568.12,198
178,98.47,98.615,1.31,190,178,-32,3729.04,573.36,200
179,98.51,98.685,1.25,189,190,-31,3630.98,571.745,201
180,98.51,98.51,1.6,177,190,-21,2650.48,581.77,203
181,98.45,98.44,1.58,174,190,-11,1671.18,588.34,205
182,98.42,98.49,1.3,183,190,-4,986.3,592.34,206
183,98.57,98.505,1.47,177,190,6,6.8,597.83,208
184,98.52,98.48,1.3,190,190,6,6.8,597.68,208
185,98.56,98.52,1.3,190,190,6,6.8,597.92,208
186,98.57,98.475,1.41,174,190,16,-972.0,603.6,210
187,98.56,98.46,1.3,190,190,16,-972.0,603.36,210
188,98.54,98.44,1.3,190,190,16,-972.0,603.04,210
189,98.54,98.44,1.3,190,190,16,-972.0,603.04,210
190,98.47,98.37,1.3,182,190,24,-1753.76,607.12,211
191,98.46,98.315,1.29,186,190,28,-2144.44,608.38,212
192,98.55,98.39,1.28,175,190,28,-2144.44,610.48,213
193,98.52,98.36,1.28,189,190,28,-2144.44,609.64,214
194,98.53,98.37,1.28,190,190,28,-2144.44,609.92,214
195,98.49,98.33,1.28,190,185,23,-1649.59,612.0,215
196,98.44,98.3,1.3,186,190,27,-2040.19,613.91,216
197,98.39,98.235,1.29,183,190,27,-2040.19,612.155,217
198,98.36,98.36,1.6,190,180,17,-1051.69,620.43,218
199,98.39,98.29,1.3,190,190,17,-1051.69,619.24,218
200,98.38,98.28,1.3,190,190,17,-1051.69,619.07,218
201,98.43,98.305,1.35,172,190,27,-2028.49,625.745,220
202,98.43,98.275,1.29,190,189,26,-1929.57,625.58,221
203,98.58,98.425,1.29,176,190,26,-1929.57,629.48,222
204,98.62,98.62,1.6,190,174,16,-938.47,639.45,224
205,98.64,98.67,1.54,190,176,6,53.43,645.45,226
206,98.6,98.655,1.49,190,173,-4,1045.53,650.91,228
207,98.65,98.67,1.3,190,183,-11,1740.77,655.4,229
208,98.61,98.72,1.38,190,180,-21,2733.97,660.85,230
209,98.71,98.835,1.29,184,190,-15,2144.83,662.305,231
210,98.77,98.86,1.3,190,190,-15,2144.83,661.93,231
211,98.73,98.7,1.54,177,190,-5,1163.13,669.63,233
212,98.74,98.77,1.3,190,188,-7,1361.97,670.58,234
213,98.74,98.835,1.41,190,179,-17,2356.27,676.075,236
214,98.72,98.82,1.3,190,190,-17,2356.27,676.33,236
215,98.51,98.635,1.35,190,173,-27,3348.87,685.725,238
216,98.51,98.665,1.29,190,178,-27,3348.87,684.915,239
217,98.49,98.645,1.29,190,190,-27,3348.87,685.455,239
218,98.46,98.615,1.29,190,176,-27,3348.87,686.265,240
219,98.47,98.625,1.29,190,190,-27,3348.87,685.995,240
220,98.58,98.735,1.29,190,180,-27,3348.87,683.025,241
221,98.69,98.845,1.29,190,190,-27,3348.87,680.055,241
222,98.67,98.825,1.29,190,175,-27,3348.87,680.595,242
223,98.68,98.835,1.29,190,174,-27,3348.87,680.325,243
224,98.74,98.895,1.29,190,190,-27,3348.87,678.705,243
225,98.75,98.905,1.29,190,190,-27,3348.87,678.435,243
226,98.77,98.925,1.29,181,190,-18,2464.35,683.7,244
227,98.77,98.9,1.34,190,179,-28,3459.55,690.35,246
228,98.73,98.885,1.29,190,190,-28,3459.55,690.77,246
229,98.77,98.77,1.6,179,190,-18,2476.75,698.89,248
230,98.81,98.91,1.3,190,190,-18,2476.75,696.37,248
231,98.79,98.89,1.3,187,190,-15,2182.03,698.68,249
232,98.83,98.8,1.54,177,190,-5,1199.33,705.33,251
233,98.84,98.87,1.3,190,190,-5,1199.33,704.98,251
234,98.93,98.96,1.3,190,189,-6,1298.94,705.18,252
235,98.87,98.905,1.29,190,190,-6,1298.94,705.51,252
236,98.86,98.895,1.29,190,190,-6,1298.94,705.57,252
237,98.75,98.845,1.41,190,179,-16,2293.24,711.72,254
238,98.65,98.62,1.54,177,190,-6,1312.34,720.62,256
239,98.68,98.715,1.29,190,190,-6,1312.34,720.05,256
240,98.68,98.62,1.48,179,190,4,331.64,726.12,258
241,98.7,98.68,1.3,190,186,0,728.96,728.96,259
242,98.75,98.825,1.45,190,174,-10,1722.96,734.71,261
243,98.75,98.81,1.3,190,190,-10,1722.96,734.86,261
244,98.79,98.85,1.3,190,182,-18,2518.96,739.66,262
245,98.78,98.88,1.3,190,190,-18,2518.96,739.12,262
246,98.83,98.805,1.55,180,190,-8,1536.16,745.72,263
247,98.76,98.805,1.29,190,181,-17,2431.21,751.525,264
248,98.76,98.86,1.3,190,185,-22,2928.76,753.84,265
249,98.72,98.84,1.3,183,190,-15,2241.43,758.83,266
250,98.69,98.775,1.29,190,190,-15,2241.43,759.805,266
251,98.74,98.825,1.29,190,186,-19,2639.31,761.635,267
252,98.63,98.74,1.3,190,182,-27,3434.43,768.45,268
253,98.48,98.63,1.3,190,190,-27,3434.43,771.42,268
254,98.49,98.64,1.3,190,183,-27,3434.43,771.15,269
255,98.48,98.63,1.3,183,190,-20,2748.57,775.97,270
256,98.53,98.64,1.3,190,190,-20,2748.57,775.77,270
257,98.51,98.62,1.3,190,189,-21,2847.84,776.82,271
258,98.57,98.705,1.33,190,178,-31,3841.24,781.385,273
259,98.62,98.78,1.28,190,181,-31,3841.24,779.06,274
260,98.71,98.87,1.28,190,190,-31,3841.24,776.27,274
261,98.73,98.89,1.28,190,190,-31,3841.24,775.65,274
262,98.76,98.92,1.28,187,190,-28,3546.4,776.64,275
263,98.7,98.7,1.6,172,190,-18,2564.3,787.7,277
264,98.64,98.74,1.3,190,190,-18,2564.3,786.98,277
265,98.65,98.775,1.35,190,172,-28,3558.3,792.6,279
266,98.68,98.835,1.29,190,180,-28,3558.3,790.92,280
267,98.7,98.85,1.3,190,188,-28,3558.3,790.5,281
268,98.67,98.82,1.3,190,178,-28,3558.3,791.34,282
269,98.74,98.89,1.3,190,177,-28,3558.3,789.38,283
270,98.74,98.89,1.3,190,190,-28,3558.3,789.38,283
271,98.75,98.75,1.6,177,190,-18,2575.8,798.3,285
272,98.7,98.8,1.3,190,190,-18,2575.8,797.4,285
273,98.67,98.77,1.3,190,185,-23,3072.9,801.19,286
274,98.59,98.575,1.57,178,190,-13,2092.2,810.725,288
275,98.49,98.56,1.3,190,190,-13,2092.2,810.92,288
276,98.52,98.59,1.3,190,187,-16,2389.92,812.48,289
277,98.57,98.66,1.3,190,183,-23,3085.09,815.91,290
278,98.53,98.515,1.57,179,190,-13,2104.99,824.295,292
279,98.64,98.6,1.52,177,190,-3,1124.39,828.59,294
280,98.72,98.74,1.3,182,190,5,339.67,833.37,295
281,98.77,98.74,1.3,183,190,12,-346.96,837.92,296
282,98.79,98.835,1.51,190,173,2,646.74,844.41,298
283,98.76,98.75,1.3,190,185,-3,1143.74,847.49,299
284,98.76,98.78,1.3,190,190,-3,1143.74,847.4,299
285,98.86,98.88,1.3,188,190,-1,947.28,848.4,300
286,98.83,98.91,1.44,190,180,-11,1942.08,854.07,301
287,98.78,98.84,1.3,190,182,-19,2738.0,860.04,302
288,98.7,98.8,1.3,190,189,-20,2837.45,861.45,303
289,98.74,98.72,1.56,175,190,-10,1855.45,868.25,305
290,98.75,98.8,1.3,190,190,-10,1855.45,867.45,305
291,98.85,98.95,1.4,190,174,-20,2850.95,871.95,307
292,98.83,98.96,1.34,190,175,-30,3846.85,878.05,309
293,98.84,98.995,1.29,188,190,-28,3650.15,878.29,310
294,98.82,98.97,1.3,190,190,-28,3650.15,878.99,310
295,98.8,98.95,1.3,190,190,-28,3650.15,879.55,310
296,98.78,98.93,1.3,190,185,-28,3650.15,880.11,311
297,98.78,98.93,1.3,190,186,-28,3650.15,880.11,312
298,98.84,98.99,1.3,184,190,-22,3060.11,882.33,313
299,99.0,99.115,1.29,182,190,-14,2272.35,884.74,314
300,99.05,99.12,1.3,190,190,-14,2272.35,884.67,314
301,99.07,99.14,1.3,181,190,-5,1385.94,890.24,315
302,99.12,99.06,1.48,174,190,5,400.94,896.24,317
303,99.08,99.14,1.48,190,173,-5,1397.94,902.24,319
304,99.08,99.11,1.3,190,181,-14,2295.78,908.24,320
305,99.14,99.21,1.3,184,190,-8,1704.42,910.74,321
306,99.15,99.19,1.3,190,190,-8,1704.42,910.9,321
307,99.1,99.045,1.49,175,190,2,719.52,917.61,323
308,99.03,99.02,1.3,190,190,2,719.52,917.56,323
309,99.0,98.92,1.44,177,190,12,-263.88,923.16,325
310,99.0,98.94,1.3,190,185,7,234.07,926.65,326
311,98.94,98.845,1.41,175,190,17,-748.43,931.935,328
312,98.95,98.86,1.3,190,190,17,-748.43,932.19,328
313,99.03,98.91,1.36,180,190,27,-1731.33,939.24,329
314,98.92,98.775,1.31,179,190,37,-2712.63,942.045,331
315,98.79,98.62,1.26,190,190,37,-2712.63,936.31,331
316,98.79,98.62,1.26,176,190,37,-2712.63,936.31,332
317,98.75,98.58,1.26,185,190,37,-2712.63,934.83,333
318,98.67,98.67,1.6,190,178,27,-1721.33,942.76,335
319,98.68,98.535,1.31,172,190,37,-2700.23,945.565,337
320,98.69,98.69,1.6,190,174,27,-1708.73,955.9,339
321,98.77,98.63,1.3,190,182,19,-914.49,959.48,340
322,98.75,98.65,1.3,190,181,10,-20.79,965.71,341
323,98.69,98.64,1.3,190,189,9,78.5,966.26,342
324,98.79,98.745,1.29,190,190,9,78.5,967.205,342
325,98.83,98.73,1.4,173,190,19,-902.9,972.97,344
326,98.83,98.735,1.29,190,190,19,-902.9,973.065,344
327,98.78,98.655,1.35,177,190,29,-1883.3,977.695,346
328,98.79,98.64,1.3,190,190,29,-1883.3,977.26,346
329,98.82,98.675,1.29,183,190,36,-2569.51,982.79,347
330,98.85,98.685,1.27,176,190,36,-2569.51,983.15,348
331,98.88,98.715,1.27,190,190,36,-2569.51,984.23,348
332,98.9,98.9,1.6,190,174,26,-1575.81,995.59,350
333,98.95,98.96,1.58,190,176,16,-581.11,1002.25,352
334,98.95,98.87,1.3,190,190,16,-581.11,1000.81,352
335,98.88,98.8,1.3,190,186,12,-183.31,1002.29,353
336,98.87,98.81,1.3,181,190,21,-1066.75,1008.26,354
337,98.96,98.985,1.55,190,172,11,-71.75,1017.085,356
338,98.92,98.865,1.29,190,190,11,-71.75,1015.765,356
339,98.84,98.785,1.29,190,190,11,-71.75,1014.885,356
340,98.8,98.745,1.29,190,190,11,-71.75,1014.445,356
341,98.93,98.875,1.29,184,190,17,-661.13,1019.745,357
342,98.93,98.845,1.29,190,190,17,-661.13,1019.235,357
343,98.97,98.89,1.3,190,190,17,-661.13,1020.0,357
344,98.97,98.89,1.3,190,190,17,-661.13,1020.0,357
345,98.92,98.955,1.53,190,172,7,333.77,1026.455,359
346,98.81,98.715,1.41,176,190,17,-647.53,1030.625,361
347,98.83,98.75,1.3,190,190,17,-647.53,1031.22,361
348,98.84,98.76,1.3,190,190,17,-647.53,1031.39,361
349,98.96,98.88,1.3,184,190,23,-1236.91,1037.33,362
350,98.97,98.84,1.34,178,190,33,-2219.01,1042.71,364
351,98.98,98.825,1.29,190,190,33,-2219.01,1042.215,364
352,98.98,98.825,1.29,188,190,33,-2219.01,1042.215,365
353,98.97,98.815,1.29,187,190,33,-2219.01,1041.885,366
354,99.03,98.875,1.29,172,190,33,-2219.01,1043.865,367
355,98.95,98.795,1.29,190,190,33,-2219.01,1041.225,367
356,99.06,98.905,1.29,190,190,33,-2219.01,1044.855,367
357,99.11,98.955,1.29,190,190,33,-2219.01,1046.505,367
358,99.14,98.985,1.29,190,187,30,-1920.12,1049.43,368
359,99.17,99.025,1.29,190,190,30,-1920.12,1050.63,368
360,99.14,98.995,1.29,190,183,23,-1222.64,1054.245,369
361,99.1,98.99,1.3,190,181,14,-325.88,1059.98,370
362,99.15,99.04,1.38,178,190,24,-1310.18,1066.78,372
363,99.16,99.045,1.29,190,190,24,-1310.18,1066.9,372
364,99.17,99.055,1.29,190,189,23,-1210.48,1067.785,373
365,99.09,98.98,1.3,190,190,23,-1210.48,1066.06,373
366,99.16,99.05,1.3,190,188,21,-1011.08,1068.97,374
367,99.17,99.07,1.3,190,187,18,-711.92,1071.34,375
368,99.13,99.01,1.36,180,190,28,-1695.92,1076.36,376
369,99.11,98.98,1.3,190,190,28,-1695.92,1075.52,376
370,99.12,98.99,1.3,190,184,22,-1098.08,1079.7,377
371,99.12,99.015,1.29,190,190,22,-1098.08,1080.25,377
372,98.99,98.89,1.3,184,190,28,-1687.52,1081.4,378
373,98.91,98.78,1.3,190,182,20,-892.08,1083.52,379
374,98.88,98.91,1.54,190,172,10,102.22,1091.32,381
375,98.88,98.83,1.3,190,190,10,102.22,1090.52,381
376,98.84,98.79,1.3,190,187,7,400.54,1092.07,382
377,98.8,98.71,1.42,178,190,17,-580.66,1097.41,384
378,98.81,98.73,1.3,190,190,17,-580.66,1097.75,384
379,98.86,98.78,1.3,190,182,9,214.78,1103.8,385
380,98.89,98.85,1.3,188,190,11,18.38,1105.73,386
381,98.88,98.83,1.3,190,185,6,515.78,1108.76,387
382,98.92,98.98,1.48,190,175,-4,1511.18,1115.26,389
383,98.87,98.89,1.3,182,190,4,725.26,1120.82,390
384,98.92,98.9,1.3,190,190,4,725.26,1120.86,390
385,98.97,99.035,1.47,190,180,-6,1721.26,1127.05,391
386,98.97,99.0,1.3,182,190,2,934.46,1132.46,392
387,98.86,98.85,1.3,190,190,2,934.46,1132.16,392
388,98.82,98.81,1.3,181,190,11,51.02,1137.93,393
389,98.79,98.74,1.3,190,190,11,51.02,1137.16,393
390,98.79,98.74,1.3,190,190,11,51.02,1137.16,393
391,98.76,98.71,1.3,190,185,6,547.82,1140.08,394
392,98.79,98.76,1.3,190,186,2,945.46,1142.98,395
393,98.7,98.62,1.44,175,190,12,-34.94,1148.5,397
394,98.76,98.705,1.29,190,190,12,-34.94,1149.52,397
395,98.77,98.665,1.39,180,190,22,-1015.64,1154.99,398
396,98.74,98.64,1.3,190,182,14,-221.32,1159.64,399
397,98.75,98.69,1.3,190,190,14,-221.32,1160.34,399
398,98.68,98.62,1.3,190,190,14,-221.32,1159.36,399
399,98.71,98.65,1.3,190,182,6,573.08,1164.98,400
400,98.67,98.64,1.3,190,186,2,970.24,1167.52,401
401,98.59,98.58,1.3,190,190,2,970.24,1167.4,401
402,98.59,98.66,1.46,190,176,-8,1962.54,1173.26,403
403,98.65,98.745,1.41,190,176,-18,2955.84,1178.43,405
404,98.56,98.64,1.3,190,190,-18,2955.84,1180.32,405
405,98.55,98.63,1.3,190,190,-18,2955.84,1180.5,405
406,98.55,98.63,1.3,190,190,-18,2955.84,1180.5,405
407,98.56,98.64,1.3,190,190,-18,2955.84,1180.32,405
408,98.6,98.68,1.3,183,190,-11,2269.63,1184.15,406
409,98.63,98.73,1.4,190,175,-21,3262.93,1189.6,408
410,98.54,98.51,1.54,178,190,-11,2283.13,1199.52,410
411,98.52,98.62,1.4,190,175,-21,3275.33,1204.31,412
412,98.54,98.63,1.3,186,190,-17,2883.41,1206.7,413
413,98.63,98.705,1.29,190,190,-17,2883.41,1205.425,413
414,98.57,98.645,1.29,190,188,-19,3081.99,1207.735,414
415,98.51,98.625,1.37,190,176,-29,4074.39,1214.265,416
416,98.45,98.59,1.32,190,180,-39,5066.69,1221.68,417
417,98.38,98.54,1.28,190,190,-39,5066.69,1223.63,417
418,98.45,98.45,1.6,177,190,-29,4086.99,1231.94,419
419,98.42,98.545,1.29,190,187,-32,4384.56,1231.12,420
420,98.45,98.59,1.3,182,190,-24,3601.04,1234.88,421
421,98.37,98.475,1.29,190,190,-24,3601.04,1237.64,421
422,98.42,98.525,1.29,190,190,-24,3601.04,1236.44,421
423,98.49,98.595,1.29,190,190,-24,3601.04,1234.76,421
424,98.32,98.425,1.29,190,190,-24,3601.04,1238.84,421
425,98.42,98.395,1.55,174,190,-14,2622.24,1244.71,423
426,98.35,98.41,1.3,190,181,-23,3513.78,1250.35,424
427,98.44,98.54,1.3,190,190,-23,3513.78,1247.36,424
428,98.41,98.51,1.3,190,190,-23,3513.78,1248.05,424
429,98.35,98.45,1.3,190,190,-23,3513.78,1249.43,424
430,98.3,98.4,1.3,190,187,-26,3810.93,1252.53,425
431,98.37,98.5,1.34,190,180,-36,4802.23,1256.23,426
432,98.38,98.53,1.3,190,190,-36,4802.23,1255.15,426
433,98.36,98.51,1.3,190,190,-36,4802.23,1255.87,426
434,98.37,98.52,1.3,190,190,-36,4802.23,1255.51,426
435,98.34,98.49,1.3,190,189,-36,4802.23,1256.59,427
436,98.35,98.5,1.3,185,190,-31,4312.98,1259.48,428
